name,url,Country,Region,Street,Zip,location,property_amenties,room_features,hotel_style,hotel_class,price,hotel_score_reviews,totalReview,location_score,cleanliness_score,service_score,value_score
Best Western Mornington Hotel,https://www.tripadvisor.in/Hotel_Review-g186338-d193063-Reviews-Best_Western_Mornington_Hotel-London_England.html,United Kingdom,United Kingdom England London,12 Lancaster Gate Westminster,W2 3LG,"12 Lancaster Gate Westminster, London W2 3LG England",Free_High_Speed_Internet_(WiFi) Fitness_Center_with_Gym_Workout_Room Bar_lounge Taxi_service Business_Center_with_Internet_Access Conference_facilities Baggage_storage Newspaper ,Air_conditioning Housekeeping Room_service Safe Flatscreen_TV Hair_dryer ,Mid-range ,4,1898,4,1297,4.5,4.5,4,4
Methuen Arms Hotel,https://www.tripadvisor.in/Hotel_Review-g209966-d571670-Reviews-Methuen_Arms_Hotel-Corsham_Wiltshire_England.html,United Kingdom,United Kingdom England Corsham,2 High Street,SN13 0HB,"2 High Street, Corsham SN13 0HB England",Free_parking Free_High_Speed_Internet_(WiFi) Wifi Bar_lounge Restaurant Meeting_rooms Newspaper Non-smoking_hotel ,Flatscreen_TV Complimentary_toiletries Hair_dryer ,Historic_Hotel Quaint ,5,1674,4.5,507,4.5,4.5,4.5,4
Hotel Bedford,https://www.tripadvisor.in/Hotel_Review-g187147-d188981-Reviews-Hotel_Bedford-Paris_Ile_de_France.html,France,France Ile-de-France Paris 8th Arr. - Élysée / Madeleine,17 rue de l Arcade 8th Arr.,75008,"17 rue de l Arcade 8th Arr., 75008 Paris France",Paid_public_parking_nearby Free_High_Speed_Internet_(WiFi) Bar_lounge Pets_Allowed_(_Dog_Pet_Friendly_) Car_hire Business_Center_with_Internet_Access Banquet_room Baggage_storage ,Soundproof_rooms Air_conditioning Room_service Safe Minibar Flatscreen_TV ,Business Family ,4,2516,4,624,4.5,4.5,4.5,3.5
Hotel Mondschein,https://www.tripadvisor.in/Hotel_Review-g190445-d227199-Reviews-Hotel_Mondschein-Innsbruck_Tirol_Austrian_Alps.html,Austria,Austria Austrian Alps Tirol Innsbruck,Mariahilfstrasse 6 6020 Innsbruck,6020,"Mariahilfstrasse 6 6020 Innsbruck, Innsbruck 6020 Austria",Paid_private_parking_nearby Free_High_Speed_Internet_(WiFi) Free_breakfast Skiing Children's_television_networks Pets_Allowed_(_Dog_Pet_Friendly_) Fax_photocopying Baggage_storage ,Air_conditioning Housekeeping Safe Minibar Flatscreen_TV ,Classic River_View ,4,1453.5,4.5,857,5,4.5,4.5,4
Saybrook Point Inn & Spa,https://www.tripadvisor.in/Hotel_Review-g33878-d85822-Reviews-Saybrook_Point_Inn_Spa-Old_Saybrook_Connecticut.html,United States,United States Connecticut Old Saybrook,2 Bridge St,06475-2566,"2 Bridge St, Old Saybrook, CT 06475-2566",Free_parking Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Bicycle_rental Fishing Pets_Allowed_(_Dog_Pet_Friendly_) ,Bathrobes Air_conditioning Housekeeping Private_balcony Room_service Refrigerator Flatscreen_TV Complimentary_toiletries ,Great_View Business ,3,3987.5,4.5,1153,5,4.5,4.5,4
London Marriott Hotel Regents Park,https://www.tripadvisor.in/Hotel_Review-g186338-d193049-Reviews-London_Marriott_Hotel_Regents_Park-London_England.html,United Kingdom,United Kingdom England London,128 King Henry's Road,NW3 3ST,"128 King Henry's Road, London NW3 3ST England",Parking Wifi Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Car_hire Business_Center_with_Internet_Access Conference_facilities ,Air_conditioning Housekeeping Private_balcony Room_service Safe Flatscreen_TV ,Family Residential_Neighborhood ,4,2859.5,4,2842,4,4.5,4.5,4
Metropark Hotel Kowloon,https://www.tripadvisor.in/Hotel_Review-g294217-d305947-Reviews-Metropark_Hotel_Kowloon-Hong_Kong.html,China,China Hong Kong Kowloon / Kowloon City District / Mong Kok,"No. 75 Waterloo Road, MongKok, Kowloon",,"No. 75 Waterloo Road, MongKok, Kowloon, Hong Kong China",Parking Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Free_shuttle_or_taxi_services Business_Center_with_Internet_Access Conference_facilities ,Blackout_curtains Air_conditioning Desk Room_service Safe Coffee_tea_maker Flatscreen_TV Bath_shower ,Business Mid-range ,4,800.5,4,2016,3.5,4,4,4
Metropark Hotel Kowloon,https://www.tripadvisor.in/Hotel_Review-g294217-d305947-Reviews-Metropark_Hotel_Kowloon-Hong_Kong.html,China,China Hong Kong Kowloon / Kowloon City District / Mong Kok,"No. 75 Waterloo Road, MongKok, Kowloon",,"No. 75 Waterloo Road, MongKok, Kowloon, Hong Kong China",Parking Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Free_shuttle_or_taxi_services Business_Center_with_Internet_Access Conference_facilities ,Blackout_curtains Air_conditioning Desk Room_service Safe Coffee_tea_maker Flatscreen_TV Bath_shower ,Business Mid-range ,4,800.5,4,2016,3.5,4,4,4
"Radisson Blu Royal Viking Hotel, Stockholm",https://www.tripadvisor.in/Hotel_Review-g189852-d207022-Reviews-Radisson_Blu_Royal_Viking_Hotel_Stockholm-Stockholm.html,Sweden,Sweden Stockholm Norrmalm,1 Vasagatan P.O. Box 234,111 20,"1 Vasagatan P.O. Box 234, Stockholm 111 20 Sweden",Parking Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Business_Center_with_Internet_Access Conference_facilities Spa ,Air_conditioning Housekeeping Room_service Safe Minibar Refrigerator Flatscreen_TV ,Business Centrally_Located ,4,1675,4,481,4.5,4.5,4,4
Radisson Blu Waterfront Hotel,https://www.tripadvisor.in/Hotel_Review-g189852-d1879047-Reviews-Radisson_Blu_Waterfront_Hotel-Stockholm.html,Sweden,Sweden Stockholm Norrmalm,Nils Ericssons Plan 4,111 64,"Nils Ericssons Plan 4, Stockholm 111 64 Sweden",Paid_private_parking_nearby Free_High_Speed_Internet_(WiFi) Fitness_Center_with_Gym_Workout_Room Bar_lounge Pets_Allowed_(_Dog_Pet_Friendly_) Business_Center_with_Internet_Access Conference_facilities Baggage_storage ,Desk Housekeeping Room_service Safe Coffee_tea_maker Minibar Flatscreen_TV Bath_shower ,Business Great_View ,4,1658,4.5,6436,5,4.5,4.5,4
Hilton Miami Airport Blue Lagoon,https://www.tripadvisor.in/Hotel_Review-g34438-d85193-Reviews-Hilton_Miami_Airport_Blue_Lagoon-Miami_Florida.html,United States,United States Florida Miami,5101 Blue Lagoon Drive,33126-2021,"5101 Blue Lagoon Drive, Miami, FL 33126-2021",Paid_private_parking_on-site Free_internet Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Free_airport_transportation Business_Center_with_Internet_Access Conference_facilities ,Air_conditioning Housekeeping Room_service Safe Minibar Refrigerator Flatscreen_TV ,Lagoon_View Business ,4,1650,4,4156,4,4.5,4,3.5
Crowne Plaza Hotel San Diego - Mission Valley,https://www.tripadvisor.in/Hotel_Review-g60750-d80131-Reviews-Crowne_Plaza_Hotel_San_Diego_Mission_Valley-San_Diego_California.html,United States,United States California San Diego Mission Valley / Hotel Circle,2270 Hotel Cir N,92108-2810,"2270 Hotel Cir N, San Diego, CA 92108-2810",Paid_public_parking_on-site Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Pets_Allowed_(_Dog_Pet_Friendly_) Shuttle_bus_service Business_Center_with_Internet_Access ,Air_conditioning Housekeeping Private_balcony Room_service Safe Flatscreen_TV ,Green Family ,3,1763,3.5,1177,4,4,4,3.5
