name,url,Country,Region,Street,Zip,location,property_amenties,room_features,hotel_style,hotel_class,price,hotel_score_reviews,totalReview,location_score,cleanliness_score,service_score,value_score
DoubleTree by Hilton London Angel Kings Cross (Formerly Islington),https://www.tripadvisor.in/Hotel_Review-g186338-d192030-Reviews-DoubleTree_by_Hilton_London_Angel_Kings_Cross_Formerly_Islington-London_England.html,United Kingdom,United Kingdom England London Islington,60 Pentonville Road,N1 9LA,"60 Pentonville Road, London N1 9LA England",Paid_private_parking_on-site Free_High_Speed_Internet_(WiFi) Personal_trainer Bar_lounge Bicycle_rental Children's_playground Children's_television_networks Taxi_service ,Blackout_curtains Soundproof_rooms Desk Housekeeping Coffee_tea_maker Cable_satellite_TV Sofa_bed Walk-in_shower ,Mid-range ,4,2389,4,2795,4.5,4.5,4.5,4
DoubleTree by Hilton London - Westminster,https://www.tripadvisor.in/Hotel_Review-g186338-d275581-Reviews-DoubleTree_by_Hilton_London_Westminster-London_England.html,United Kingdom,United Kingdom England London Westminster,30 John Islip Street,SW1P 4DD,"30 John Islip Street, London SW1P 4DD England",Free_High_Speed_Internet_(WiFi) Fitness_Center_with_Gym_Workout_Room Bar_lounge Taxi_service Fax_photocopying 24-hour_security Baggage_storage 24-hour_front_desk ,Soundproof_rooms Air_conditioning Desk Housekeeping Interconnected_rooms_available Room_service Refrigerator Flatscreen_TV ,,4,2292,4,7595,4.5,4.5,4.5,4
Hampton By Hilton London Croydon,https://www.tripadvisor.in/Hotel_Review-g504167-d2367453-Reviews-Hampton_By_Hilton_London_Croydon-Croydon_Greater_London_England.html,United Kingdom,United Kingdom England Croydon,29/30 Dingwall Road,CR0 2NB,"29/30 Dingwall Road, Croydon CR0 2NB England",Paid_public_parking_nearby Free_High_Speed_Internet_(WiFi) Fitness_Center_with_Gym_Workout_Room Free_breakfast Business_Center_with_Internet_Access Meeting_rooms Baggage_storage Newspaper ,Air_conditioning Safe Flatscreen_TV ,Modern Quiet ,3,1342.5,4,1555,4,4.5,4,4
Lea Marston Hotel & Spa,https://www.tripadvisor.in/Hotel_Review-g1028047-d564312-Reviews-Lea_Marston_Hotel_Spa-Lea_Marston_Warwickshire_England.html,United Kingdom,United Kingdom England Lea Marston,Haunch Lane Sutton Coldfield,B76 0BY,"Haunch Lane Sutton Coldfield, Lea Marston B76 0BY England",Free_parking Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Restaurant Golf_course Conference_facilities Banquet_room ,Desk Room_service Telephone Iron Coffee_tea_maker Flatscreen_TV Bath_shower Complimentary_toiletries ,,4,1306,4.5,2691,4.5,4.5,4.5,4.5
Best Western Cresta Court Hotel,https://www.tripadvisor.in/Hotel_Review-g190739-d300492-Reviews-Best_Western_Cresta_Court_Hotel-Altrincham_Trafford_Greater_Manchester_England.html,United Kingdom,United Kingdom England Trafford Altrincham,Church Street,WA14 4DP,"Church Street, Altrincham WA14 4DP England",Free_parking Free_High_Speed_Internet_(WiFi) Bar_lounge Taxi_service Business_Center_with_Internet_Access Conference_facilities Facial_treatments Baggage_storage ,Housekeeping Room_service Flatscreen_TV ,Business ,3,909,3.5,1371,4,4,4,4
Holiday Inn Express Preston South,https://www.tripadvisor.in/Hotel_Review-g1023834-d3468720-Reviews-Holiday_Inn_Express_Preston_South-Bamber_Bridge_Lancashire_England.html,United Kingdom,United Kingdom England Bamber Bridge,Reedfield Place,PR5 8AA,"Reedfield Place, Bamber Bridge PR5 8AA England",Free_parking Free_High_Speed_Internet_(WiFi) Free_breakfast Pets_Allowed_(_Dog_Pet_Friendly_) Business_Center_with_Internet_Access Conference_facilities Baggage_storage Newspaper ,Air_conditioning Desk Housekeeping Interconnected_rooms_available Telephone Flatscreen_TV Bath_shower Complimentary_toiletries ,Business ,3,885,4,845,4.5,4.5,4.5,4.5
Crowne Plaza London - Kings Cross,https://www.tripadvisor.in/Hotel_Review-g186338-d195200-Reviews-Crowne_Plaza_London_Kings_Cross-London_England.html,United Kingdom,United Kingdom England London Euston / Kings Cross /St Pancras / Clerkenwell,1 King's Cross Road,WC1X 9HX,"1 King's Cross Road, London WC1X 9HX England",Paid_private_parking_on-site Free_internet Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Car_hire Business_Center_with_Internet_Access Conference_facilities ,Air_conditioning Housekeeping Room_service Safe Laptop_safe Refrigerator Flatscreen_TV ,Family Mid-range ,4,2098.5,3.5,3949,3.5,4,4,3.5
Hilton Belfast Templepatrick Golf & Country Club,https://www.tripadvisor.in/Hotel_Review-g209949-d211239-Reviews-Hilton_Belfast_Templepatrick_Golf_Country_Club-Templepatrick_County_Antrim_Northern_Ire.html,United Kingdom,United Kingdom Northern Ireland Templepatrick,"Castle Upton, Paradise Walk",BT39 0DD,"Castle Upton, Paradise Walk, Templepatrick BT39 0DD Northern Ireland",Free_parking Wifi Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Golf_course Pets_Allowed_(_Dog_Pet_Friendly_) Car_hire ,Desk Fireplace Room_service Safe VIP_room_facilities Flatscreen_TV Bath_shower Hair_dryer ,Great_View ,4,1204.5,4,1664,4,4,4,4
DoubleTree by Hilton Hotel Sheffield Park,https://www.tripadvisor.in/Hotel_Review-g186364-d192698-Reviews-DoubleTree_by_Hilton_Hotel_Sheffield_Park-Sheffield_South_Yorkshire_England.html,United Kingdom,United Kingdom England Yorkshire Sheffield,Chesterfield Road South,S8 8BW,"Chesterfield Road South, Sheffield S8 8BW England",Free_parking Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Hiking Taxi_service Business_Center_with_Internet_Access ,Air_conditioning Room_service Safe Refrigerator Flatscreen_TV ,Business Family ,4,1012,4,2013,4,4.5,4,4
Hilton Glasgow,https://www.tripadvisor.in/Hotel_Review-g186534-d192416-Reviews-Hilton_Glasgow-Glasgow_Scotland.html,United Kingdom,United Kingdom Scotland Glasgow City Centre / Anderston,1 William Street,G3 8HT,"1 William Street, Glasgow G3 8HT Scotland",Paid_private_parking_on-site Free_internet Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Taxi_service Business_Center_with_Internet_Access Conference_facilities ,Air_conditioning Desk Room_service Safe Minibar Refrigerator Flatscreen_TV Hair_dryer ,Family Modern ,4,1755.5,4,4117,4,4.5,4.5,4
Premier Inn Crewe West hotel,https://www.tripadvisor.in/Hotel_Review-g499507-d570418-Reviews-Premier_Inn_Crewe_West_hotel-Crewe_Cheshire_England.html,United Kingdom,United Kingdom England Crewe,Coppenhall Lane Woolstanwood,CW2 8SD,"Coppenhall Lane Woolstanwood, Crewe CW2 8SD England",Free_parking Free_internet Restaurant Highchairs_available Baggage_storage Non-smoking_hotel 24-hour_check-in 24-hour_front_desk ,Blackout_curtains Desk Housekeeping Wardrobe_closet Clothes_rack Coffee_tea_maker Flatscreen_TV Bath_shower ,Family Modern ,3,675,4.5,584,4.5,4.5,4.5,4.5
DoubleTree by Hilton Hotel London Heathrow Airport,https://www.tripadvisor.in/Hotel_Review-g1049751-d193681-Reviews-DoubleTree_by_Hilton_Hotel_London_Heathrow_Airport-Cranford_Hounslow_Greater_London_En.html,United Kingdom,United Kingdom England Hounslow Cranford,745 Bath Road,TW5 9QE,"745 Bath Road, Cranford, Hounslow TW5 9QE England",Paid_private_parking_on-site Free_High_Speed_Internet_(WiFi) Bar_lounge Taxi_service Business_Center_with_Internet_Access Conference_facilities Baggage_storage Newspaper ,Soundproof_rooms Air_conditioning Desk Room_service Safe Flatscreen_TV Bath_shower Hair_dryer ,,4,1144,4,1894,4,4.5,4,4
Holiday Inn Maidstone - Sevenoaks,https://www.tripadvisor.in/Hotel_Review-g818932-d245401-Reviews-Holiday_Inn_Maidstone_Sevenoaks-Wrotham_Heath_Sevenoaks_District_Kent_England.html,United Kingdom,United Kingdom England Sevenoaks District Wrotham Heath,London Road,TN15 7RS,"London Road, Wrotham Heath TN15 7RS England",Free_parking Free_internet Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Pets_Allowed_(_Dog_Pet_Friendly_) Business_Center_with_Internet_Access Conference_facilities ,Air_conditioning Desk Housekeeping Interconnected_rooms_available Coffee_tea_maker Flatscreen_TV On-demand_movies Bath_shower ,Business ,3,1275.5,3.5,695,4,4,4,3.5
Premier Inn Basildon (Rayleigh) hotel,https://www.tripadvisor.in/Hotel_Review-g190757-d259553-Reviews-Premier_Inn_Basildon_Rayleigh_hotel-Basildon_Essex_England.html,United Kingdom,United Kingdom England Basildon,Arterial Road Arterial Road,SS6 7SP,"Arterial Road Arterial Road, Basildon SS6 7SP England",Free_parking Free_internet Restaurant Highchairs_available 24-hour_security Baggage_storage 24-hour_check-in 24-hour_front_desk ,Blackout_curtains Desk Interconnected_rooms_available Wardrobe_closet Clothes_rack Electric_kettle Flatscreen_TV Bath_shower ,Business ,3,880.5,4.5,520,4.5,4.5,4.5,4
Holiday Inn Ashford North A20,https://www.tripadvisor.in/Hotel_Review-g1214897-d192593-Reviews-Holiday_Inn_Ashford_North_A20-Hothfield_Kent_England.html,United Kingdom,United Kingdom England Hothfield,Garden Court Maidstone Road,TN26 1AR,"Garden Court Maidstone Road, Hothfield TN26 1AR England",Free_parking Free_High_Speed_Internet_(WiFi) Fitness_Center_with_Gym_Workout_Room Bar_lounge Business_Center_with_Internet_Access Conference_facilities Newspaper Non-smoking_hotel ,Housekeeping Room_service Flatscreen_TV ,Business ,3,854,4,694,4,4.5,4,4
Holiday Inn Express Birmingham - Star City,https://www.tripadvisor.in/Hotel_Review-g186402-d650302-Reviews-Holiday_Inn_Express_Birmingham_Star_City-Birmingham_West_Midlands_England.html,United Kingdom,United Kingdom England Birmingham,"Cuckoo Road, Heartlands Parkway Nechells",B7 5SB,"Cuckoo Road, Heartlands Parkway Nechells, Birmingham B7 5SB England",Free_parking Free_High_Speed_Internet_(WiFi) Free_breakfast Evening_entertainment Pets_Allowed_(_Dog_Pet_Friendly_) Conference_facilities Meeting_rooms Non-smoking_hotel ,Air_conditioning Housekeeping Iron Coffee_tea_maker Flatscreen_TV Hair_dryer ,Mid-range Business ,3,875.5,3.5,573,4,4,4,4
Hilton London Croydon,https://www.tripadvisor.in/Hotel_Review-g504167-d192599-Reviews-Hilton_London_Croydon-Croydon_Greater_London_England.html,United Kingdom,United Kingdom England Croydon,101 Waddon Way Purley Way,CR9 4HH,"101 Waddon Way Purley Way, Croydon CR9 4HH England",Parking_garage Free_High_Speed_Internet_(WiFi) Fitness_Center_with_Gym_Workout_Room Bar_lounge Kids_stay_free Car_hire Business_Center_with_Internet_Access Conference_facilities ,Room_service Safe Iron Flatscreen_TV ,Mid-range Business ,4,1179.5,3.5,1523,3.5,3.5,4,3.5
Premier Inn Burgess Hill Hotel,https://www.tripadvisor.in/Hotel_Review-g666960-d1924768-Reviews-Premier_Inn_Burgess_Hill_Hotel-Burgess_Hill_West_Sussex_England.html,United Kingdom,United Kingdom England Burgess Hill,Charles Avenue,RH15 9AL,"Charles Avenue, Burgess Hill RH15 9AL England",Free_parking Free_internet Bar_lounge Highchairs_available 24-hour_security Baggage_storage 24-hour_check-in 24-hour_front_desk ,Blackout_curtains Air_conditioning Desk Interconnected_rooms_available Telephone Electric_kettle Flatscreen_TV Bath_shower ,Business ,3,958,4,665,4,4.5,4.5,4
Coldra Court Hotel,https://www.tripadvisor.in/Hotel_Review-g2439490-d195360-Reviews-Coldra_Court_Hotel-Langstone_Newport_South_Wales_Wales.html,United Kingdom,United Kingdom Wales South Wales Newport Langstone,Chepstow Road,NP18 2LX,"Chepstow Road, Langstone, Newport NP18 2LX Wales",Paid_private_parking_on-site Free_internet Pool Fitness_Center_with_Gym_Workout_Room Restaurant Taxi_service Business_Center_with_Internet_Access Conference_facilities ,Air_conditioning Room_service Flatscreen_TV ,,4,1233.5,3.5,768,3.5,3.5,4,3.5
Hilton Phuket Arcadia Resort & Spa,https://www.tripadvisor.in/Hotel_Review-g1215780-d305270-Reviews-Hilton_Phuket_Arcadia_Resort_Spa-Karon_Phuket.html,Thailand,Thailand Phuket Karon,333 Patak Road,83100,"333 Patak Road, Karon, Phuket 83100 Thailand",Free_parking Free_internet Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Beach Game_room Babysitting ,Blackout_curtains Bathrobes Air_conditioning Desk Dining_area Coffee_tea_maker Flatscreen_TV Walk-in_shower ,Park_View Bay_View ,5,1574,4,4331,4,4.5,4.5,4
Hilton London Watford,https://www.tripadvisor.in/Hotel_Review-g187058-d192521-Reviews-Hilton_London_Watford-Watford_Hertfordshire_England.html,United Kingdom,United Kingdom England Watford,Elton Way,WD25 8HA,"Elton Way, Watford WD25 8HA England",Free_parking Free_internet Fitness_Center_with_Gym_Workout_Room Restaurant Taxi_service Business_Center_with_Internet_Access Conference_facilities Baggage_storage ,Housekeeping Room_service Safe VIP_room_facilities Flatscreen_TV ,Mid-range Business ,4,1215,3.5,2257,4,4,4,3.5
Holiday Inn Express Birmingham - Oldbury,https://www.tripadvisor.in/Hotel_Review-g504213-d226368-Reviews-Holiday_Inn_Express_Birmingham_Oldbury-Oldbury_Sandwell_West_Midlands_England.html,United Kingdom,United Kingdom England Sandwell Oldbury,Birchley Park Service Station Churchbridge,B69 2BD,"Birchley Park Service Station Churchbridge, Oldbury, Sandwell B69 2BD England",Free_parking Free_High_Speed_Internet_(WiFi) Free_breakfast Meeting_rooms Fax_photocopying Baggage_storage Newspaper 24-hour_front_desk ,Air_conditioning Housekeeping Safe Flatscreen_TV ,Modern Business ,3,850,4,701,4,4.5,4,4.5
Bromsgrove Hotel & Spa,https://www.tripadvisor.in/Hotel_Review-g227129-d227160-Reviews-Bromsgrove_Hotel_Spa-Bromsgrove_Worcestershire_England.html,United Kingdom,United Kingdom England Bromsgrove,Birmingham Road,B61 0JB,"Birmingham Road, Bromsgrove B61 0JB England",Paid_private_parking_on-site Wifi Indoor_pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Patio Pets_Allowed_(_Dog_Pet_Friendly_) Conference_facilities ,Blackout_curtains Desk Room_service Telephone Coffee_tea_maker Flatscreen_TV Sofa_bed Bath_shower ,,4,941.5,3.5,1653,4,4,3.5,3.5
"Holiday Inn London-Elstree M25, Jct.23",https://www.tripadvisor.in/Hotel_Review-g186338-d597366-Reviews-Holiday_Inn_London_Elstree_M25_Jct_23-London_England.html,United Kingdom,United Kingdom England London,Barnett Bypass,WD6 5PU,"Barnett Bypass, London WD6 5PU England",Free_parking Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Children_Activities_(Kid_Family_Friendly) Pets_Allowed_(_Dog_Pet_Friendly_) Business_Center_with_Internet_Access ,Air_conditioning Housekeeping Room_service Safe Iron Flatscreen_TV ,,4,1042.5,3.5,731,4,4,3.5,3.5
Best Western Reading Calcot Hotel,https://www.tripadvisor.in/Hotel_Review-g3672349-d243126-Reviews-Best_Western_Reading_Calcot_Hotel-Calcot_Reading_Berkshire_England.html,United Kingdom,United Kingdom England Reading Calcot,98 Bath Road,RG31 7QN,"98 Bath Road, Calcot, Reading RG31 7QN England",Free_parking Free_High_Speed_Internet_(WiFi) Bar_lounge Taxi_service Business_Center_with_Internet_Access Conference_facilities Baggage_storage Newspaper ,Housekeeping Room_service Safe Flatscreen_TV ,Business Mid-range ,3,1099,4,775,4,4,4,4
Hilton Northampton,https://www.tripadvisor.in/Hotel_Review-g186349-d192654-Reviews-Hilton_Northampton-Northampton_Northamptonshire_England.html,United Kingdom,United Kingdom England Northampton,100 Watering Lane,NN4 0XW,"100 Watering Lane, Northampton NN4 0XW England",Free_public_parking_nearby Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Taxi_service Business_Center_with_Internet_Access Conference_facilities ,Room_service Safe Iron Flatscreen_TV ,Business Family ,4,1233.5,3.5,1628,4,4,4,3.5
Hotel Indigo Brussels - City,https://www.tripadvisor.in/Hotel_Review-g1891930-d19111779-Reviews-Hotel_Indigo_Brussels_City-Saint_Josse_ten_Noode_Brussels.html,Belgium,Belgium Brussels Saint-Josse-ten-Noode,Place Charles Rogier 20,1210,"Place Charles Rogier 20, Saint-Josse-ten-Noode, Brussels 1210 Belgium",Paid_public_parking_nearby Free_internet Fitness_Center_with_Gym_Workout_Room Bar_lounge Taxi_service Conference_facilities Banquet_room Baggage_storage ,Allergy-free_room Blackout_curtains Air_conditioning Desk Housekeeping Coffee_tea_maker Cable_satellite_TV Walk-in_shower ,,4,1566,4.5,19,5,5,5,4.5
Ramada by Wyndham Oldbury Birmingham,https://www.tripadvisor.in/Hotel_Review-g504213-d1118120-Reviews-Ramada_by_Wyndham_Oldbury_Birmingham-Oldbury_Sandwell_West_Midlands_England.html,United Kingdom,United Kingdom England Sandwell Oldbury,International House 963 Wolverhampton Road International House,B69 4RJ,"International House 963 Wolverhampton Road International House, Oldbury, Sandwell B69 4RJ England",Free_parking Free_High_Speed_Internet_(WiFi) Wifi Bar_lounge Conference_facilities Meeting_rooms Non-smoking_hotel 24-hour_front_desk ,Room_service Flatscreen_TV ,,3,622.5,2.5,394,3.5,3,3,3
Holiday Inn Express Warwick - Stratford Upon Avon,https://www.tripadvisor.in/Hotel_Review-g186400-d189308-Reviews-Holiday_Inn_Express_Warwick_Stratford_Upon_Avon-Warwick_Warwickshire_England.html,United Kingdom,United Kingdom England Warwick,Stratford Road M40 Jct.15,CV34 6TW,"Stratford Road M40 Jct.15, Warwick CV34 6TW England",Paid_private_parking_on-site Free_High_Speed_Internet_(WiFi) Free_breakfast Pets_Allowed_(_Dog_Pet_Friendly_) Meeting_rooms Fax_photocopying Baggage_storage Newspaper ,Air_conditioning Housekeeping Safe Iron Flatscreen_TV Hair_dryer ,Modern Business ,3,988.5,4,1304,4.5,4.5,4,4
Hilton Nottingham,https://www.tripadvisor.in/Hotel_Review-g186356-d192645-Reviews-Hilton_Nottingham-Nottingham_Nottinghamshire_England.html,United Kingdom,United Kingdom England Nottingham,Milton Street,NG1 3PZ,"Milton Street, Nottingham NG1 3PZ England",Paid_public_parking_on-site Wifi Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Business_Center_with_Internet_Access Conference_facilities Spa ,Desk Housekeeping Room_service Safe Telephone Flatscreen_TV Bath_shower Complimentary_toiletries ,Centrally_Located ,4,1245,3,2720,4.5,3.5,3.5,3
Hotel Miramare,https://www.tripadvisor.in/Hotel_Review-g187881-d237478-Reviews-Hotel_Miramare-Cagliari_Province_of_Cagliari_Sardinia.html,Italy,Italy Sardinia Province of Cagliari Cagliari,Via Roma 59,9124,"Via Roma 59, 09124, Cagliari, Sardinia Italy",Free_High_Speed_Internet_(WiFi) Wifi Free_breakfast Bar_lounge Pets_Allowed_(_Dog_Pet_Friendly_) Concierge Non-smoking_hotel Laundry_service ,Air_conditioning Private_balcony Room_service Minibar Flatscreen_TV ,Great_View Centrally_Located ,4,2125,4.5,421,5,4.5,4.5,4
UNAHOTELS Deco Roma,https://www.tripadvisor.in/Hotel_Review-g187791-d1510471-Reviews-UNAHOTELS_Deco_Roma-Rome_Lazio.html,Italy,Italy Lazio Rome Castro Pretorio / Termini / Centro / Esquilino,Via Giovanni Amendola 57,185,"Via Giovanni Amendola 57, 00185 Rome Italy",Parking Free_High_Speed_Internet_(WiFi) Free_breakfast Airport_transportation Business_Center_with_Internet_Access Conference_facilities Baggage_storage Concierge ,Desk Housekeeping Room_service Safe Flatscreen_TV Hair_dryer ,Business Family ,4,2938.5,4.5,3575,4.5,4.5,4.5,4
The Quay Hotel & Spa,https://www.tripadvisor.in/Hotel_Review-g1077002-d594214-Reviews-The_Quay_Hotel_Spa-Deganwy_Conwy_County_North_Wales_Wales.html,United Kingdom,United Kingdom Wales North Wales Deganwy,Deganwy Quay,LL31 9DJ,"Deganwy Quay, Deganwy LL31 9DJ Wales",Free_parking Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Free_breakfast Taxi_service Conference_facilities Banquet_room ,Air_conditioning Housekeeping Private_balcony Room_service Safe Iron Refrigerator Flatscreen_TV ,Great_View ,4,2177.5,4.5,3480,5,4.5,4.5,4
High Keenley Fell Farm,https://www.tripadvisor.in/Hotel_Review-g2070112-d1132196-Reviews-High_Keenley_Fell_Farm-Allendale_Hexham_Northumberland_England.html,United Kingdom,United Kingdom England Hexham Allendale,,NE47 9NU,"Allendale, Hexham NE47 9NU England",Free_parking Free_High_Speed_Internet_(WiFi) Complimentary_instant_cofffee Golf_course Hiking Pets_Allowed_(_Dog_Pet_Friendly_) Non-smoking_hotel Private_check-in_check-out ,Flatscreen_TV DVD_CD_player Bath_shower ,Quaint ,4,919,5,25,5,5,5,4.5
Leonardo Royal London Tower Bridge,https://www.tripadvisor.in/Hotel_Review-g186338-d2048553-Reviews-Leonardo_Royal_London_Tower_Bridge-London_England.html,United Kingdom,United Kingdom England London East End / East London / Whitechapel,45 Prescot Street,E1 8GP,"45 Prescot Street, London E1 8GP England",Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Taxi_service Business_Center_with_Internet_Access Conference_facilities Spa ,Air_conditioning Housekeeping Room_service Safe VIP_room_facilities Minibar Flatscreen_TV ,,4,2223,4,754,4.5,4.5,4.5,4
Langley Hotel Tignes 2100,https://www.tripadvisor.in/Hotel_Review-g196714-d314423-Reviews-Langley_Hotel_Tignes_2100-Tignes_Savoie_Auvergne_Rhone_Alpes.html,France,France Auvergne-Rhône-Alpes Savoie Tignes,rue de la Poste,73320,"rue de la Poste, 73320 Tignes France",Public_wifi Hot_tub Sauna Free_breakfast Hiking Ski_rentals Fax_photocopying Spa ,Private_balcony Flatscreen_TV ,Great_View Mid-range ,3,1614.5,3.5,444,4.5,3.5,4,4
DoubleTree by Hilton Hotel London -Tower of London,https://www.tripadvisor.in/Hotel_Review-g186338-d1946018-Reviews-DoubleTree_by_Hilton_Hotel_London_Tower_of_London-London_England.html,United Kingdom,United Kingdom England London City of London,7 Pepys Street,EC3N 4AF,"7 Pepys Street, London EC3N 4AF England",Parking_garage Free_High_Speed_Internet_(WiFi) Fitness_Center_with_Gym_Workout_Room Bar_lounge Evening_entertainment Business_Center_with_Internet_Access Conference_facilities Rooftop_terrace ,Air_conditioning Housekeeping Room_service Safe Flatscreen_TV ,Green Modern ,4,2819,4.5,7229,4.5,4.5,4.5,4
ICEHOTEL,https://www.tripadvisor.in/Hotel_Review-g939981-d259843-Reviews-ICEHOTEL-Jukkasjarvi_Kiruna_Norrbotten_County.html,Sweden,Sweden Norrbotten County Kiruna Jukkasjarvi,Marknadsvagen 63,981 91,"Marknadsvagen 63, Jukkasjarvi, Kiruna 981 91 Sweden",Free_parking Free_internet Sauna Free_breakfast Hiking Horseback_riding Airport_transportation Conference_facilities ,Safe ,Quirky_Hotels ,3,2214.5,4.5,2005,4.5,4.5,4.5,4
Apex City of London Hotel,https://www.tripadvisor.in/Hotel_Review-g186338-d572859-Reviews-Apex_City_of_London_Hotel-London_England.html,United Kingdom,United Kingdom England London City of London,1 Seething Lane,EC3N 4AX,"1 Seething Lane, London EC3N 4AX England",Free_High_Speed_Internet_(WiFi) Fitness_Center_with_Gym_Workout_Room Restaurant Taxi_service Business_Center_with_Internet_Access Conference_facilities Body_wrap Baggage_storage ,Housekeeping Room_service Safe Telephone VIP_room_facilities Iron Laptop_safe Flatscreen_TV ,Modern Business ,4,2774.5,4.5,5182,4.5,5,4.5,4.5
Hogarths Hotel,https://www.tripadvisor.in/Hotel_Review-g1096383-d550217-Reviews-Hogarths_Hotel-Dorridge_Solihull_West_Midlands_England.html,United Kingdom,United Kingdom England Solihull Dorridge,Four Ashes Road,B93 8QE,"Four Ashes Road, Dorridge, Solihull B93 8QE England",Free_parking Free_High_Speed_Internet_(WiFi) Bar_lounge Pets_Allowed_(_Dog_Pet_Friendly_) Taxi_service Business_Center_with_Internet_Access Conference_facilities BBQ_facilities ,Air_conditioning Desk Fireplace Housekeeping Coffee_tea_maker Flatscreen_TV Bath_shower Complimentary_toiletries ,Great_View ,4,1499.5,4.5,1161,4.5,4.5,4.5,4
MacDonald Bath Spa Hotel,https://www.tripadvisor.in/Hotel_Review-g186370-d187618-Reviews-MacDonald_Bath_Spa_Hotel-Bath_Somerset_England.html,United Kingdom,United Kingdom England Bath,Sydney Road,BA2 6NS,"Sydney Road, Bath BA2 6NS England",Parking Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Taxi_service Business_Center_with_Internet_Access Conference_facilities ,Air_conditioning Housekeeping Room_service Safe Refrigerator Flatscreen_TV ,Park_View Historic_Hotel ,2,2367,4,5603,4.5,4.5,4,3.5
Fir Trees Guest House,https://www.tripadvisor.in/Hotel_Review-g186330-d595761-Reviews-Fir_Trees_Guest_House-Windermere_Lake_District_Cumbria_England.html,United Kingdom,United Kingdom England Lake District Windermere,Lake Road,LA23 2EQ,"Lake Road, Windermere LA23 2EQ England",Free_parking Free_High_Speed_Internet_(WiFi) Wifi Free_breakfast Hiking Baggage_storage Non-smoking_hotel ,Housekeeping Bottled_water Coffee_tea_maker Refrigerator Flatscreen_TV Bath_shower Complimentary_toiletries Hair_dryer ,Mid-range Family ,4,1238.5,5,290,5,5,5,4.5
Hilton Manchester Deansgate,https://www.tripadvisor.in/Hotel_Review-g187069-d611303-Reviews-Hilton_Manchester_Deansgate-Manchester_Greater_Manchester_England.html,United Kingdom,United Kingdom England Manchester,303 Deansgate,M3 4LQ,"303 Deansgate, Manchester M3 4LQ England",Paid_public_parking_on-site Free_internet Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Nightclub_DJ Taxi_service Business_Center_with_Internet_Access ,Allergy-free_room Air_conditioning Housekeeping Room_service Safe Minibar Refrigerator Flatscreen_TV ,Great_View Modern ,4,1953.5,4,5389,4.5,4.5,4,3.5
Novotel Nice Aeroport Cap 3000,https://www.tripadvisor.in/Hotel_Review-g187238-d197195-Reviews-Novotel_Nice_Aeroport_Cap_3000-St_Laurent_du_Var_French_Riviera_Cote_d_Azur_Provence_Al.html,France,France Provence-Alpes-Cote d'Azur French Riviera - Cote d'Azur St-Laurent du Var,40 avenue de Verdun,6700,"40 avenue de Verdun, 06700 St-Laurent du Var France","Free_parking Free_High_Speed_Internet_(WiFi) Pool Bar_lounge Table_tennis Babysitting Books,_DVDs,_music_for_children Pets_Allowed_(_Dog_Pet_Friendly_) ",Soundproof_rooms Air_conditioning Housekeeping Room_service Safe Bottled_water Minibar Flatscreen_TV ,Green Quiet ,4,1288.5,4,812,4,4,4,4
The Lowry Hotel,https://www.tripadvisor.in/Hotel_Review-g503819-d225331-Reviews-The_Lowry_Hotel-Salford_Greater_Manchester_England.html,United Kingdom,United Kingdom England Salford,50 Dearmans Place Chapel Wharf,M3 5LH,"50 Dearmans Place Chapel Wharf, Salford M3 5LH England",Parking Free_High_Speed_Internet_(WiFi) Fitness_Center_with_Gym_Workout_Room Bar_lounge Airport_transportation Business_Center_with_Internet_Access Conference_facilities Spa ,Air_conditioning Housekeeping Room_service Safe Iron Minibar Refrigerator Flatscreen_TV ,River_View Centrally_Located ,2,2044.5,4.5,3583,4.5,4.5,4.5,4
